시군구,2018_평균 강수량,2019_평균 강수량,2020_평균 강수량
수원시,182.7666667,125.8666667,378.3666667
성남시,212.5,155.3333333,365.5
안양시,159.5333333,157.0,359.3333333
부천시,199.5333333,155.0,307.5
광명시,150.6666667,149.6666667,326.6666667
평택시,214.1666667,117.1333333,361.2333333
안산시,177.6666667,127.6666667,333.6666667
과천시,178.3333333,193.1666667,388.6666667
오산시,190.3333333,135.1666667,380.1666667
시흥시,156.0,125.8,320.8333333
군포시,136.0,146.8333333,360.5
의왕시,190.8,149.4,305.7333333
하남시,112.5666667,200.0,377.5
용인시,206.9333333,120.2,401.0
이천시,220.2,125.3666667,398.4
안성시,193.5666667,118.5333333,381.9
김포시,214.4333333,106.7,351.5
화성시,157.6,122.7,336.0666667
광주시,210.7,173.5333333,358.6666667
여주시,209.5666667,131.7,382.0333333
양평군,197.1666667,154.8666667,303.3666667
의정부시,301.3333333,175.5,425.5
동두천시,273.4333333,176.1,378.1333333
고양시,312.6666667,180.3333333,349.0
구리시,206.0,181.9333333,407.6666667
남양주시,211.6333333,187.3333333,393.7
파주시,221.8333333,161.2333333,335.3666667
양주시,239.3666667,154.3,384.8333333
포천시,251.6666667,169.5666667,357.0666667
연천군,238.4666667,162.6,371.8
가평군,221.7333333,174.4666667,382.5
