시군구,2018,2018,2018,2018_평균 강수량,2019,2019,2019,2019_평균 강수량,2020,2020,2020,2020_평균 강수량
수원시,107,222.7,218.6,182.7666667,68.8,190.9,117.9,125.8666667,91.1,384.7,659.3,378.3666667
성남시,103,228,306.5,212.5,80.5,205.5,180,155.3333333,105.5,286,705,365.5
안양시,82.7,169.1,226.8,159.5333333,85,197.5,188.5,157,92,283,703,359.3333333
부천시,114.4,123.9,360.3,199.5333333,69.5,171.5,224,155,108.5,248.5,565.5,307.5
광명시,112.5,171,168.5,150.6666667,66,213.7,169.3,149.6666667,88,235.5,656.5,326.6666667
평택시,143,249,250.5,214.1666667,81.3,139,131.1,117.1333333,107.3,354.6,621.8,361.2333333
안산시,117,208,208,177.6666667,68,175,140,127.6666667,89.2,301,610.8,333.6666667
과천시,92.5,201.5,241,178.3333333,175,222.5,182,193.1666667,125,280,761,388.6666667
오산시,86.5,258.5,226,190.3333333,71,222,112.5,135.1666667,87,347,706.5,380.1666667
시흥시,110,157.2,200.8,156,73.8,170.8,132.8,125.8,86,253.5,623,320.8333333
군포시,45.5,144,218.5,136,72.5,188,180,146.8333333,90.5,298.5,692.5,360.5
의왕시,96.6,216.6,259.2,190.8,69.2,176.2,202.8,149.4,101,266.4,549.8,305.7333333
하남시,62.2,115.5,160,112.5666667,64.5,249.5,286,200,93.5,234,805,377.5
용인시,110.8,226.5,283.5,206.9333333,69.3,184.3,107,120.2,104.7,358.1,740.2,401
이천시,104.7,228.6,327.3,220.2,77.4,184.9,113.8,125.3666667,95.1,395.6,704.5,398.4
안성시,123.1,179,278.6,193.5666667,71.8,183.1,100.7,118.5333333,100.3,380.8,664.6,381.9
김포시,99.4,136.2,407.7,214.4333333,37.3,210.4,72.4,106.7,114.5,328.5,611.5,351.5
화성시,88.2,193.9,190.7,157.6,79,191.1,98,122.7,89.4,350,568.8,336.0666667
광주시,99.2,266.4,266.5,210.7,68.8,257.9,193.9,173.5333333,103.2,262.7,710.1,358.6666667
여주시,131.2,220.8,276.7,209.5666667,69.8,209.9,115.4,131.7,87.3,339.9,718.9,382.0333333
양평군,114.9,216.5,260.1,197.1666667,66.8,211.9,185.9,154.8666667,102.1,183.9,624.1,303.3666667
의정부시,156.5,201.5,546,301.3333333,69,275.5,182,175.5,132.5,286.5,857.5,425.5
동두천시,195.2,217.7,407.4,273.4333333,63.2,329.8,135.3,176.1,128.6,248,757.8,378.1333333
고양시,161.5,164.5,612,312.6666667,66,334.5,140.5,180.3333333,111,233.5,702.5,349
구리시,70,315,233,206,68.9,275.7,201.2,181.9333333,104,279,840,407.6666667
남양주시,128.4,178.4,328.1,211.6333333,55,301,206,187.3333333,100.6,257.8,822.7,393.7
파주시,134.5,134.8,396.2,221.8333333,62.2,259.6,161.9,161.2333333,119.1,231.6,655.4,335.3666667
양주시,158.6,180.5,379,239.3666667,56.5,266,140.4,154.3,134.3,252.5,767.7,384.8333333
포천시,143,193,419,251.6666667,67.4,288.9,152.4,169.5666667,96.8,204,770.4,357.0666667
연천군,119.2,138.1,458.1,238.4666667,68.4,264.4,155,162.6,117.2,195.3,802.9,371.8
가평군,113.7,187.2,364.3,221.7333333,57.3,292.8,173.3,174.4666667,100,230.5,817,382.5
