시군구,터널수,총길이,2018_평균 강수량,2019_평균 강수량,2020_평균 강수량,2020년_산사태_발생건수,2020년_산사태피해면적
용인시,51,30770.5,206.9333333,120.2,401.0,25.0,15.13
성남시,49,37405.3,212.5,155.3333333,365.5,0.0,0.0
남양주시,45,34195.7,211.6333333,187.3333333,393.7,1.0,0.05
광주시,40,30337.0,210.7,173.5333333,358.6666667,0.0,0.0
여주시,23,17530.0,209.5666667,131.7,382.0333333,2.0,0.03
가평군,20,17174.9,221.7333333,174.4666667,382.5,19.0,15.13
안성시,19,14905.0,193.5666667,118.5333333,381.9,94.0,78.33
의왕시,16,8270.0,190.8,149.4,305.7333333,0.0,0.0
양주시,16,21673.0,239.3666667,154.3,384.8333333,0.0,0.0
파주시,16,7107.0,221.8333333,161.2333333,335.3666667,2.0,0.16
양평군,16,11592.0,197.1666667,154.8666667,303.3666667,16.0,14.42
군포시,16,15267.0,136.0,146.8333333,360.5,0.0,0.0
화성시,14,5202.0,157.6,122.7,336.0666667,0.0,0.0
안산시,10,8868.0,177.6666667,127.6666667,333.6666667,0.0,0.0
포천시,10,10060.0,251.6666667,169.5666667,357.0666667,5.0,0.46
광명시,9,11241.0,150.6666667,149.6666667,326.6666667,0.0,0.0
의정부시,9,10253.0,301.3333333,175.5,425.5,0.0,0.0
하남시,7,3442.0,112.5666667,200.0,377.5,1.0,0.04
안양시,7,13292.0,159.5333333,157.0,359.3333333,0.0,0.0
고양시,6,1864.0,312.6666667,180.3333333,349.0,0.0,0.0
수원시,6,2892.0,182.7666667,125.8666667,378.3666667,0.0,0.0
동두천시,6,7898.0,273.4333333,176.1,378.1333333,0.0,0.0
평택시,5,1747.0,214.1666667,117.1333333,361.2333333,1.0,0.06
시흥시,5,2580.0,156.0,125.8,320.8333333,0.0,0.0
김포시,4,758.1,214.4333333,106.7,351.5,1.0,0.24
과천시,4,2769.0,178.3333333,193.1666667,388.6666667,0.0,0.0
이천시,3,2857.0,220.2,125.3666667,398.4,45.0,32.8
부천시,3,510.0,199.5333333,155.0,307.5,0.0,0.0
오산시,2,745.0,190.3333333,135.1666667,380.1666667,0.0,0.0
구리시,1,3605.0,206.0,181.9333333,407.6666667,0.0,0.0
연천군,1,298.0,238.4666667,162.6,371.8,13.0,4.46
